La palabra'the'		se repite 364 veces
La palabra'to'		se repite 289 veces
La palabra'ect'		se repite 712 veces
La palabra'and'		se repite 193 veces
La palabra'for'		se repite 127 veces
La palabra'of'		se repite 118 veces
La palabra'a'		se repite 3250 veces
La palabra'you'		se repite 110 veces
La palabra'hou'		se repite 325 veces
La palabra'in'		se repite 537 veces
La palabra'on'		se repite 707 veces
La palabra'is'		se repite 281 veces
La palabra'this'		se repite 74 veces
La palabra'enron'		se repite 192 veces
La palabra'i'		se repite 2638 veces
La palabra'be'		se repite 157 veces
La palabra'that'		se repite 35 veces
La palabra'will'		se repite 60 veces
La palabra'have'		se repite 37 veces
La palabra'with'		se repite 43 veces
La palabra'your'		se repite 25 veces
La palabra'at'		se repite 338 veces
La palabra'we'		se repite 122 veces
La palabra's'		se repite 2081 veces
La palabra'are'		se repite 65 veces
La palabra'it'		se repite 241 veces
La palabra'by'		se repite 42 veces
La palabra'com'		se repite 52 veces
La palabra'as'		se repite 232 veces
La palabra'from'		se repite 44 veces
La palabra'gas'		se repite 30 veces
La palabra'or'		se repite 464 veces
La palabra'not'		se repite 51 veces
La palabra'me'		se repite 335 veces
La palabra'deal'		se repite 33 veces
La palabra'if'		se repite 89 veces
La palabra'meter'		se repite 73 veces
La palabra'hpl'		se repite 24 veces
La palabra'please'		se repite 34 veces
La palabra're'		se repite 497 veces
La palabra'e'		se repite 5294 veces
La palabra'any'		se repite 32 veces
La palabra'our'		se repite 71 veces
La palabra'corp'		se repite 50 veces
La palabra'can'		se repite 22 veces
La palabra'd'		se repite 1666 veces
La palabra'all'		se repite 83 veces
La palabra'has'		se repite 15 veces
La palabra'was'		se repite 28 veces
La palabra'know'		se repite 27 veces
La palabra'need'		se repite 16 veces
La palabra'an'		se repite 555 veces
La palabra'forwarded'		se repite 18 veces
La palabra'new'		se repite 11 veces
La palabra't'		se repite 4080 veces
La palabra'may'		se repite 13 veces
La palabra'up'		se repite 41 veces
La palabra'j'		se repite 312 veces
La palabra'mmbtu'		se repite 11 veces
La palabra'should'		se repite 8 veces
La palabra'do'		se repite 57 veces
La palabra'am'		se repite 120 veces
La palabra'get'		se repite 22 veces
La palabra'out'		se repite 38 veces
La palabra'see'		se repite 16 veces
La palabra'no'		se repite 184 veces
La palabra'there'		se repite 28 veces
La palabra'price'		se repite 19 veces
La palabra'daren'		se repite 16 veces
La palabra'but'		se repite 10 veces
La palabra'been'		se repite 9 veces
La palabra'company'		se repite 12 veces
La palabra'l'		se repite 1950 veces
La palabra'these'		se repite 9 veces
La palabra'let'		se repite 23 veces
La palabra'so'		se repite 115 veces
La palabra'would'		se repite 17 veces
La palabra'm'		se repite 1256 veces
La palabra'into'		se repite 5 veces
La palabra'xls'		se repite 2 veces
La palabra'farmer'		se repite 9 veces
La palabra'attached'		se repite 10 veces
La palabra'us'		se repite 97 veces
La palabra'information'		se repite 6 veces
La palabra'they'		se repite 7 veces
La palabra'message'		se repite 1 veces
La palabra'day'		se repite 49 veces
La palabra'time'		se repite 24 veces
La palabra'my'		se repite 10 veces
La palabra'one'		se repite 22 veces
La palabra'what'		se repite 14 veces
La palabra'only'		se repite 6 veces
La palabra'http'		se repite 55 veces
La palabra'th'		se repite 726 veces
La palabra'volume'		se repite 26 veces
La palabra'mail'		se repite 24 veces
La palabra'contract'		se repite 27 veces
La palabra'which'		se repite 6 veces
La palabra'month'		se repite 19 veces
La palabra'more'		se repite 7 veces
La palabra'robert'		se repite 26 veces
La palabra'sitara'		se repite 11 veces
La palabra'about'		se repite 8 veces
La palabra'texas'		se repite 16 veces
La palabra'nom'		se repite 28 veces
La palabra'energy'		se repite 8 veces
La palabra'pec'		se repite 13 veces
La palabra'questions'		se repite 6 veces
La palabra'www'		se repite 4 veces
La palabra'deals'		se repite 4 veces
La palabra'volumes'		se repite 14 veces
La palabra'pm'		se repite 49 veces
La palabra'ena'		se repite 21 veces
La palabra'now'		se repite 37 veces
La palabra'their'		se repite 7 veces
La palabra'file'		se repite 2 veces
La palabra'some'		se repite 7 veces
La palabra'email'		se repite 11 veces
La palabra'just'		se repite 3 veces
La palabra'also'		se repite 7 veces
La palabra'call'		se repite 5 veces
La palabra'change'		se repite 14 veces
La palabra'other'		se repite 7 veces
La palabra'here'		se repite 53 veces
La palabra'like'		se repite 12 veces
La palabra'b'		se repite 771 veces
La palabra'flow'		se repite 31 veces
La palabra'net'		se repite 21 veces
La palabra'following'		se repite 11 veces
La palabra'p'		se repite 1075 veces
La palabra'production'		se repite 11 veces
La palabra'when'		se repite 11 veces
La palabra'over'		se repite 11 veces
La palabra'back'		se repite 5 veces
La palabra'want'		se repite 9 veces
La palabra'original'		se repite 1 veces
La palabra'them'		se repite 6 veces
La palabra'below'		se repite 2 veces
La palabra'o'		se repite 3474 veces
La palabra'ticket'		se repite 10 veces
La palabra'c'		se repite 2150 veces
La palabra'he'		se repite 596 veces
La palabra'could'		se repite 14 veces
La palabra'make'		se repite 11 veces
La palabra'inc'		se repite 17 veces
La palabra'report'		se repite 7 veces
La palabra'march'		se repite 36 veces
La palabra'contact'		se repite 10 veces
La palabra'were'		se repite 7 veces
La palabra'days'		se repite 5 veces
La palabra'list'		se repite 6 veces
La palabra'nomination'		se repite 8 veces
La palabra'system'		se repite 5 veces
La palabra'who'		se repite 9 veces
La palabra'april'		se repite 16 veces
La palabra'number'		se repite 5 veces
La palabra'sale'		se repite 1 veces
La palabra'don'		se repite 15 veces
La palabra'its'		se repite 1 veces
La palabra'first'		se repite 15 veces
La palabra'thanks'		se repite 19 veces
La palabra'business'		se repite 9 veces
La palabra'help'		se repite 5 veces
La palabra'per'		se repite 36 veces
La palabra'through'		se repite 1 veces
La palabra'july'		se repite 0 veces
La palabra'forward'		se repite 26 veces
La palabra'font'		se repite 23 veces
La palabra'free'		se repite 4 veces
La palabra'daily'		se repite 5 veces
La palabra'use'		se repite 13 veces
La palabra'order'		se repite 39 veces
La palabra'today'		se repite 7 veces
La palabra'r'		se repite 2990 veces
La palabra'had'		se repite 5 veces
La palabra'fw'		se repite 2 veces
La palabra'set'		se repite 19 veces
La palabra'plant'		se repite 3 veces
La palabra'statements'		se repite 1 veces
La palabra'go'		se repite 37 veces
La palabra'gary'		se repite 19 veces
La palabra'oil'		se repite 2 veces
La palabra'line'		se repite 8 veces
La palabra'sales'		se repite 0 veces
La palabra'w'		se repite 767 veces
La palabra'effective'		se repite 4 veces
La palabra'well'		se repite 15 veces
La palabra'tenaska'		se repite 0 veces
La palabra'take'		se repite 3 veces
La palabra'june'		se repite 0 veces
La palabra'x'		se repite 213 veces
La palabra'within'		se repite 3 veces
La palabra'nbsp'		se repite 11 veces
La palabra'she'		se repite 10 veces
La palabra'how'		se repite 20 veces
La palabra'north'		se repite 6 veces
La palabra'america'		se repite 5 veces
La palabra'being'		se repite 3 veces
La palabra'under'		se repite 11 veces
La palabra'next'		se repite 5 veces
La palabra'week'		se repite 11 veces
La palabra'than'		se repite 23 veces
La palabra'january'		se repite 2 veces
La palabra'last'		se repite 6 veces
La palabra'two'		se repite 8 veces
La palabra'service'		se repite 3 veces
La palabra'purchase'		se repite 2 veces
La palabra'name'		se repite 6 veces
La palabra'less'		se repite 10 veces
La palabra'height'		se repite 68 veces
La palabra'off'		se repite 21 veces
La palabra'agreement'		se repite 10 veces
La palabra'k'		se repite 427 veces
La palabra'work'		se repite 9 veces
La palabra'tap'		se repite 2 veces
La palabra'group'		se repite 6 veces
La palabra'year'		se repite 0 veces
La palabra'based'		se repite 5 veces
La palabra'transport'		se repite 7 veces
La palabra'after'		se repite 8 veces
La palabra'think'		se repite 3 veces
